"","title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"2945","Grillo vs Grillo","MOVIE",2017,"",95,"['comedy', 'european']","['XX']",5.3,130,1.123,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2946","Neevevaro","MOVIE",2018,"PG",130,"['thriller', 'action', 'drama', 'romance']","['IN']",6.9,809,1.677,6.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"2947","Sebastián Marcelo Wainraich","MOVIE",2018,"",49,"['comedy']","['AR']",6.4,106,1.03,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2953","Hajwala 2: Mysterious Mission","MOVIE",2018,"PG-13",115,"['action', 'comedy']","['AE']",3.9,93,1.533,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"2954","Rise: Ini Kalilah","MOVIE",2018,"",102,"['drama']","['MY']",5.1,41,1.715,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2955","Echcharikkai","MOVIE",2018,"",134,"['thriller', 'horror', 'crime', 'drama']","['IN']",6.3,312,1.697,4.9,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2956","Verses of Love 2","MOVIE",2017,"",125,"['drama', 'romance']","['ID']",5.5,609,2.821,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"2957","Kavin Jay : Everybody Calm Down!","MOVIE",2018,"",53,"['comedy', 'documentation']","['XX']",5.9,236,1.655,4.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2958","Unexpectedly Yours","MOVIE",2017,"",120,"['comedy', 'romance']","['PH']",6.7,180,2.461,7.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"2960","Lilli","MOVIE",2018,"PG",91,"['thriller']","['IN']",5.7,281,1.033,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2962","Komola Rocket","MOVIE",2018,"",95,"['drama']","['BD']",7.4,1037,2.181,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2963","D.L. Hughley: Contrarian","MOVIE",2018,"",58,"['comedy']","['US']",6.5,610,2.29,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2964","Panoptic","MOVIE",2017,"",79,"['documentation']","['AE', 'LB']",6.3,60,0.928,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2965","Joe Mande's Award-Winning Comedy Special","MOVIE",2017,"",66,"['comedy', 'documentation']","['US']",6.1,509,2.079,6.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2966","Deliha 2","MOVIE",2018,"G",106,"['comedy']","['TR']",4.7,2594,5.949,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2967","Fabrizio Copano: solo pienso en mí","MOVIE",2017,"",59,"['comedy']","['CL']",5,34,0.808,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2968","Jen Kirkman: Just Keep Livin'?","MOVIE",2017,"",69,"['comedy']","['US']",6.8,1290,1.904,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2971","Si Doel the Movie","MOVIE",2018,"",85,"['family', 'romance', 'drama', 'comedy']","['ID']",6.8,417,1.447,7.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"2975","The Gentlemen","MOVIE",2019,"R",113,"['crime', 'action', 'comedy']","['US', 'GB']",7.8,325385,67.919,7.687,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"2987","A Call to Spy","MOVIE",2019,"PG-13",123,"['crime', 'drama', 'thriller', 'war', 'history']","['US']",6.6,7091,11.78,6.8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"3002","The Rental","MOVIE",2020,"R",88,"['drama', 'horror', 'thriller']","['US']",5.7,30613,53.311,5.6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3005","I'm Thinking of Ending Things","MOVIE",2020,"R",134,"['drama', 'thriller', 'fantasy']","['US']",6.6,83093,17.61,6.6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"3006","The Irishman","MOVIE",2019,"R",209,"['crime', 'drama', 'history', 'thriller']","['US']",7.8,376379,21.075,7.6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"3012","Extraction","MOVIE",2020,"R",116,"['crime', 'drama', 'action', 'thriller']","['US']",6.7,196105,51.91,7.4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3014","My Octopus Teacher","MOVIE",2020,"",84,"['documentation']","['ZA', 'GB']",8.1,52771,19.276,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3015","Synchronic","MOVIE",2019,"R",102,"['crime', 'drama', 'horror', 'scifi', 'thriller']","['US']",6.2,29455,13.498,6.3,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"3017","Yes, God, Yes","MOVIE",2020,"R",78,"['comedy', 'drama']","['GB', 'US']",6.1,15155,41.666,6.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3019","The Platform","MOVIE",2019,"",95,"['scifi', 'thriller', 'horror', 'european']","['ES']",7,213699,47.725,7.003,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3020","Enola Holmes","MOVIE",2020,"PG-13",123,"['crime', 'drama', 'action']","['US']",6.6,162511,22.461,7.3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3022","The Old Guard","MOVIE",2020,"R",125,"['fantasy', 'action', 'thriller']","['US']",6.6,158247,20.588,7.2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"3024","His House","MOVIE",2020,"",93,"['thriller', 'drama', 'horror']","['GB']",6.5,39988,27.065,6.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3025","Marriage Story","MOVIE",2019,"R",136,"['drama', 'romance', 'comedy']","['GB']",7.9,298303,28.268,7.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"3027","Scary Stories to Tell in the Dark","MOVIE",2019,"PG-13",108,"['horror', 'thriller']","['US', 'CA', 'CN']",6.2,74754,36.326,6.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3028","The Devil All the Time","MOVIE",2020,"R",138,"['crime', 'drama', 'thriller', 'horror']","['US']",7.1,122321,22.872,7.3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3029","Lunana: A Yak in the Classroom","MOVIE",2019,"",109,"['drama', 'family']","['BT', 'CN']",7.4,3257,6.869,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"3030","Fantastic Fungi","MOVIE",2019,"",81,"['documentation']","['US']",7.4,8430,9.263,7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3031","The King","MOVIE",2019,"R",140,"['history', 'war', 'drama', 'romance']","['US', 'AU']",7.2,124438,25.987,7.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
"3035","Rambo: Last Blood","MOVIE",2019,"R",101,"['drama', 'action', 'crime', 'thriller', 'western']","['US', 'CN']",6.1,96740,88.199,6.5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"3037","1BR","MOVIE",2019,"",90,"['thriller', 'drama', 'horror']","['US']",5.8,12397,15.943,6.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3038","Trading Paint","MOVIE",2019,"R",87,"['drama', 'thriller', 'action', 'sport', 'european']","['GB', 'US']",4.4,1996,8.786,5.6,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"3040","Sweetheart","MOVIE",2019,"PG-13",82,"['horror', 'thriller', 'drama', 'fantasy', 'scifi']","['US']",5.8,8191,12.174,6.5,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"3041","Summerland","MOVIE",2020,"PG",102,"['romance', 'war', 'drama']","['GB']",7,6827,9.77,7.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"3042","Official Secrets","MOVIE",2019,"R",112,"['drama', 'thriller', 'history', 'crime', 'war', 'romance']","['GB', 'US']",7.3,46901,13.217,7.249,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1
"3044","Pieces of a Woman","MOVIE",2020,"R",127,"['drama']","['CA', 'HU', 'US']",7,48664,10.502,7.098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3045","Freaks","MOVIE",2019,"R",105,"['scifi', 'thriller', 'drama']","['US', 'CA']",6.7,35021,56.909,6.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3046","21 Bridges","MOVIE",2019,"R",99,"['action', 'drama', 'crime', 'thriller']","['US']",6.6,65845,29.285,6.7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3047","6 Underground","MOVIE",2019,"R",128,"['thriller', 'comedy', 'action']","['US']",6.1,172083,68.45,6.327,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3048","Mank","MOVIE",2020,"R",131,"['comedy', 'drama']","['US']",6.8,72295,13.068,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3049","I Care a Lot","MOVIE",2020,"R",118,"['drama', 'thriller', 'comedy', 'crime']","['GB', 'US']",6.3,129321,30.192,6.6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3052","El Camino: A Breaking Bad Movie","MOVIE",2019,"R",123,"['crime', 'drama', 'thriller', 'action']","['US']",7.3,216847,42.566,6.91,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3053","Always Be My Maybe","MOVIE",2019,"PG-13",102,"['romance', 'comedy']","['US']",6.8,55686,11.434,6.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3055","The Social Dilemma","MOVIE",2020,"PG-13",94,"['drama', 'documentation']","['US']",7.6,80916,20.38,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3056","Straight Up","MOVIE",2019,"",95,"['comedy', 'romance']","['US']",6.8,2445,6.099,6.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3057","The Outpost","MOVIE",2020,"R",123,"['history', 'action', 'war', 'drama']","['BG', 'US']",6.8,32952,31.294,6.9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
"3058","Disappearance at Clifton Hill","MOVIE",2020,"",100,"['thriller', 'drama']","['CA']",5.4,3612,5.746,5.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3060","Triple Frontier","MOVIE",2019,"R",125,"['thriller', 'action', 'crime', 'drama']","['US']",6.4,125883,28.54,6.3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3061","Eurovision Song Contest: The Story of Fire Saga","MOVIE",2020,"PG-13",123,"['music', 'comedy']","['US']",6.5,92086,10.817,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3064","The Wandering Earth","MOVIE",2019,"PG-13",126,"['scifi', 'action', 'drama', 'thriller']","['CN']",5.9,30297,25.187,6.4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"3065","The Forgotten Battle","MOVIE",2020,"",124,"['drama', 'war', 'history', 'documentation', 'european']","['BE', 'LT', 'NL']",7.1,27275,33.974,7.2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"3067","After We Collided","MOVIE",2020,"R",105,"['drama', 'romance']","['US']",5,30522,236.101,7.251,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3068","In the Shadow of the Moon","MOVIE",2019,"R",115,"['scifi', 'crime', 'thriller']","['US', 'CA']",6.2,52206,23.952,6.2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3069","Code 8","MOVIE",2019,"",99,"['scifi', 'action', 'crime', 'thriller', 'drama']","['CA', 'GB', 'US']",6.1,39469,18.193,6.2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"3071","Fractured","MOVIE",2019,"R",99,"['thriller']","['US']",6.4,72478,35.497,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3073","365 Days","MOVIE",2020,"",114,"['romance', 'drama', 'european']","['PL']",3.3,84940,48.792,7.044,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"3081","I Am Mother","MOVIE",2019,"PG-13",114,"['scifi', 'horror', 'drama', 'thriller']","['AU']",6.7,89926,20.904,6.696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3082","Ava","MOVIE",2020,"R",96,"['thriller', 'crime', 'action', 'drama']","['US']",5.4,54279,155.235,5.753,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3083","The Trial of the Chicago 7","MOVIE",2020,"R",130,"['drama', 'history', 'thriller']","['US']",7.7,173103,15.07,7.8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"3085","The Dirt","MOVIE",2019,"R",108,"['drama', 'comedy', 'music']","['US']",6.9,48445,15.86,7.518,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3087","Can You Keep a Secret?","MOVIE",2019,"",94,"['romance', 'comedy']","['US']",5.3,16421,12.579,6.553,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3089","Murder Mystery","MOVIE",2019,"PG-13",90,"['comedy', 'crime', 'romance', 'action']","['IT', 'MC', 'US', 'CA']",6,124599,22.376,6.2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"3090","Da 5 Bloods","MOVIE",2020,"R",156,"['war', 'drama']","['US']",6.5,50520,16.232,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3091","The Midnight Sky","MOVIE",2020,"PG-13",118,"['drama', 'scifi', 'thriller', 'fantasy']","['US']",5.6,82362,22.231,5.8,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"3099","Wine Country","MOVIE",2019,"R",103,"['comedy', 'drama']","['US']",5.4,21213,11.397,5.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3101","The Wrong Missy","MOVIE",2020,"R",90,"['romance', 'comedy']","['US']",5.7,39237,31.686,6.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3103","Five Feet Apart","MOVIE",2019,"PG-13",116,"['romance', 'drama']","['US']",7.2,63916,86.377,8.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3104","Brahms: The Boy II","MOVIE",2020,"PG-13",86,"['thriller', 'horror', 'drama']","['CN', 'US', 'AU', 'CA']",4.7,17048,29.249,6.017,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3105","After","MOVIE",2019,"PG-13",102,"['drama', 'romance']","['US']",5.2,53460,238.494,7.166,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3107","Someone Great","MOVIE",2019,"R",92,"['romance', 'comedy']","['US']",6.1,22277,14.238,6.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3109","Last Breath","MOVIE",2019,"",85,"['documentation', 'european']","['BE', 'SE', 'GB']",7.7,5800,5.855,7.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3112","The Two Popes","MOVIE",2019,"PG-13",125,"['drama', 'comedy', 'history']","['US']",7.6,122069,11.465,7.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3113","Rebecca","MOVIE",2020,"PG-13",123,"['romance', 'drama', 'thriller']","['GB']",6,41232,11.042,6.3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"3114","The Wind","MOVIE",2019,"R",86,"['western', 'thriller', 'horror']","['US']",5.5,8242,10.601,5.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"3116","Bad Trip","MOVIE",2020,"",87,"['comedy', 'reality']","['CA', 'US']",6.5,24537,73.507,6.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"3118","The Half of It","MOVIE",2020,"PG-13",104,"['comedy', 'romance', 'drama']","['US']",6.9,36576,17.948,7.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3119","Dolemite Is My Name","MOVIE",2019,"R",118,"['drama', 'comedy', 'history']","['US']",7.2,60334,11.036,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3120","The Prom","MOVIE",2020,"PG-13",130,"['comedy', 'drama', 'music', 'romance']","['US']",5.9,26197,1.596,6.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"3123","Ophelia","MOVIE",2019,"PG-13",114,"['drama', 'romance', 'history', 'war', 'thriller']","['GB', 'US']",6.6,10357,17.715,7.3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
"3125","Ma Rainey's Black Bottom","MOVIE",2020,"R",94,"['drama', 'music']","['US']",6.9,50988,10.662,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3127","The Call","MOVIE",2020,"",112,"['scifi', 'thriller', 'drama', 'crime', 'horror']","['KR']",7.1,30772,33.987,7.6,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3128","Hillbilly Elegy","MOVIE",2020,"R",117,"['drama']","['US']",6.7,41469,12.825,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3132","Paradise Hills","MOVIE",2019,"",95,"['scifi', 'thriller', 'fantasy', 'european']","['US', 'ES']",5.3,22454,17.062,6.022,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"3134","The Highwaymen","MOVIE",2019,"R",133,"['drama', 'thriller', 'crime']","['US']",6.9,89893,14.256,6.7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3136","Fast Color","MOVIE",2019,"PG-13",102,"['scifi', 'thriller', 'drama']","['US']",6,6276,8.954,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"3140","Occupation: Rainfall","MOVIE",2020,"R",128,"['scifi', 'action']","['AU']",5.2,14219,16.63,6.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"3143","Extremely Wicked, Shockingly Evil and Vile","MOVIE",2019,"R",110,"['crime', 'thriller', 'drama']","['US']",6.7,92156,19.891,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3145","We Summon the Darkness","MOVIE",2020,"R",91,"['thriller', 'horror', 'comedy', 'music']","['US']",5.2,10483,8.183,5.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"3147","The Paper Tigers","MOVIE",2020,"PG-13",110,"['comedy', 'action']","['US']",6.3,4341,4.665,6.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3149","Between Two Ferns: The Movie","MOVIE",2019,"",82,"['comedy']","['US']",6.1,32036,12.486,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3151","The Game Changers","MOVIE",2019,"",88,"['documentation']","['US']",7.8,19942,11.211,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3152","Dick Johnson Is Dead","MOVIE",2020,"PG-13",89,"['documentation', 'drama']","['US']",7.4,6511,7.932,7.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3153","Velvet Buzzsaw","MOVIE",2019,"R",113,"['thriller', 'horror', 'comedy']","['US']",5.7,60629,16.079,5.3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3159","The Old Ways","MOVIE",2020,"R",90,"['fantasy', 'horror', 'thriller', 'drama']","['US']",5.4,6035,9.583,7.2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"3162","The Laundromat","MOVIE",2019,"R",96,"['drama', 'history', 'comedy', 'crime']","['US']",6.3,49391,10.319,6,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3163","Pokémon the Movie: Secrets of the Jungle","MOVIE",2020,"",99,"['family', 'fantasy', 'animation', 'action', 'scifi']","['JP']",6.4,1942,110.86,7.027,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"3164","Project Power","MOVIE",2020,"R",113,"['crime', 'scifi', 'action', 'thriller']","['US']",6,86407,22.48,6.5,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"3165","In the Tall Grass","MOVIE",2019,"",102,"['drama', 'thriller', 'scifi', 'horror']","['CA', 'US']",5.4,55276,15.188,5.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3167","#Alive","MOVIE",2020,"",98,"['horror', 'thriller', 'action', 'drama']","['KR']",6.3,38313,58.967,7.3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"3175","Tread","MOVIE",2020,"",88,"['crime', 'documentation']","['US']",7.1,3074,2.637,6.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3176","Paddleton","MOVIE",2019,"R",89,"['drama', 'comedy']","['US']",7.1,13791,7.339,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3178","Lost Girls","MOVIE",2020,"R",95,"['thriller', 'drama', 'crime']","['US']",6.1,21588,12.547,6.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3179","Fyre","MOVIE",2019,"",98,"['documentation', 'crime', 'music']","['US']",7.2,45728,9.805,6.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3181","The Wolf's Call","MOVIE",2019,"",115,"['thriller', 'action', 'scifi', 'war', 'drama', 'european']","['FR']",6.9,17468,15.545,7.6,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
"3183","Pokemon the Movie: Mewtwo Strikes Back - Evolution","MOVIE",2019,"PG",98,"['animation', 'action', 'fantasy', 'family']","['JP']",5.7,5475,146.188,6.7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
"3184","The Red Sea Diving Resort","MOVIE",2019,"R",129,"['history', 'drama', 'thriller']","['CA', 'US']",6.6,28051,14.205,6.9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"3186","Thackeray","MOVIE",2019,"",139,"['drama', 'history', 'action']","['IN']",5.3,3365,2.821,5.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"3188","Charlie Says","MOVIE",2019,"R",104,"['drama', 'documentation', 'crime']","['US']",5.9,4474,11.349,5.9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3189","Crip Camp: A Disability Revolution","MOVIE",2020,"R",107,"['documentation', 'history']","['US']",7.7,7428,10.547,7.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3192","Polar","MOVIE",2019,"R",118,"['action', 'drama', 'crime', 'thriller', 'european']","['DE', 'US']",6.3,88281,30.208,6.3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"3193","The Silence","MOVIE",2019,"PG-13",90,"['drama', 'thriller', 'fantasy', 'horror', 'scifi', 'european']","['DE']",5.3,44818,35.51,6.04,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"3196","Spenser Confidential","MOVIE",2020,"R",111,"['action', 'comedy', 'drama', 'thriller', 'crime']","['US']",6.2,86593,21.502,6.545,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3199","Ip Man 4: The Finale","MOVIE",2019,"PG",107,"['action', 'drama', 'history']","['CN', 'HK']",7,31692,19.541,7.2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"3201","David Attenborough: A Life on Our Planet","MOVIE",2020,"PG",83,"['documentation']","['GB']",8.9,31625,15.935,8.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3204","Doom: Annihilation","MOVIE",2019,"R",96,"['action', 'scifi', 'thriller', 'horror']","['US']",3.7,9281,29.955,4.9,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"3208","I Lost My Body","MOVIE",2019,"",81,"['fantasy', 'drama', 'romance', 'animation', 'european']","['FR']",7.5,32380,11.079,7.5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"3210","Cut Throat City","MOVIE",2020,"R",123,"['thriller', 'drama', 'action', 'crime']","['US']",4.8,2594,10.445,6.6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3213","High Flying Bird","MOVIE",2019,"",90,"['drama', 'sport']","['US']",6.2,8616,7.304,5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"3214","The Water Man","MOVIE",2020,"PG",92,"['action', 'thriller', 'drama', 'family', 'fantasy']","['US']",5.4,3880,13.201,6.2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"3217","The Lost Husband","MOVIE",2020,"PG-13",109,"['romance', 'drama']","['US']",6.1,4739,7.282,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3218","IO","MOVIE",2019,"PG-13",96,"['scifi', 'romance', 'drama']","['US']",4.7,34180,25.116,4.9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"3219","Rocks","MOVIE",2019,"",93,"['drama']","['GB']",7.4,4711,7.28,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3221","Over the Moon","MOVIE",2020,"PG",95,"['comedy', 'family', 'fantasy', 'scifi', 'romance', 'animation']","['CN', 'US']",6.3,22034,75.251,7.3,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
"3222","Kiss the Ground","MOVIE",2020,"",84,"['documentation']","['US']",8.2,6736,6.272,8.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3224","This Changes Everything","MOVIE",2019,"PG",97,"['documentation']","['US']",7.6,1580,4.764,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3225","Eli","MOVIE",2019,"R",98,"['horror', 'thriller', 'drama']","['US']",5.8,35214,31.78,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3226","The Boy Who Harnessed the Wind","MOVIE",2019,"",113,"['drama', 'history']","['US', 'MW', 'GB']",7.6,37527,35.031,7.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
