"","title","type","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"2902","The Perfect Match","SHOW",2017,"TV-14",44,"['drama', 'comedy']","['TW']",1,NA,NA,2.723,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2905","Here to Heart","SHOW",2018,"TV-14",45,"['drama', 'romance']","['CN']",1,7.5,225,3.082,8.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"2922","True: Magical Friends","SHOW",2018,"TV-Y",24,"['animation']","['US']",1,NA,NA,0.675,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2931","Little Singham","SHOW",2018,"",12,"['animation', 'action']","['IN']",2,3.5,99,0.6,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"2936","Luna Petunia Return to Amazia","SHOW",2018,"TV-Y",24,"['animation']","['US']",2,4.8,47,2.75,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2939","The Unknown Hitman: The Story of El Cholo Adrián","SHOW",2017,"TV-MA",50,"['action', 'crime']","['MX']",2,6.6,145,4.376,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"2944","Life Plan A and B","SHOW",2017,"TV-PG",80,"['drama']","['TW']",1,7.8,116,1.332,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2959","Afronta!","SHOW",2017,"TV-PG",14,"['documentation']","['BR']",1,7.4,8,0.6,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2961","Highland: Thailand's Marijuana Awakening","SHOW",2017,"TV-MA",20,"['documentation']","['US']",1,6.2,24,0.663,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2972","The Umbrella Academy","SHOW",2019,"TV-14",50,"['comedy', 'drama', 'fantasy', 'scifi', 'action']","['US']",3,8,230211,388.952,8.7,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"2973","The Secret of Skinwalker Ranch","SHOW",2020,"TV-PG",42,"['horror', 'reality', 'thriller', 'documentation']","['US']",3,6,2625,30.911,8.5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"2974","Virgin River","SHOW",2019,"TV-14",44,"['drama', 'romance']","['US']",4,7.4,36459,169.37,8.034,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2976","Demon Slayer: Kimetsu no Yaiba","SHOW",2019,"TV-MA",25,"['scifi', 'action', 'animation', 'horror', 'fantasy', 'thriller']","['JP']",3,8.7,93604,94.263,8.809,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"2977","Love, Death & Robots","SHOW",2019,"TV-MA",13,"['scifi', 'animation', 'thriller', 'horror', 'comedy', 'fantasy', 'drama', 'action']","['US']",3,8.4,131937,156.46,8.3,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"2978","In the Dark","SHOW",2019,"TV-14",41,"['drama', 'comedy', 'action', 'crime', 'horror']","['US']",4,7.5,11409,39.136,7.9,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2979","Vinland Saga","SHOW",2019,"TV-MA",24,"['animation', 'action', 'drama', 'war', 'history']","['JP']",2,8.8,32535,15.663,8.6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
"2980","Tuca & Bertie","SHOW",2019,"TV-MA",24,"['comedy', 'animation']","['US']",3,7.3,7023,18.246,7.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2981","Russian Doll","SHOW",2019,"TV-MA",28,"['comedy', 'drama']","['US']",2,7.8,91649,18.072,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2982","Jurassic World: Camp Cretaceous","SHOW",2020,"TV-PG",24,"['action', 'animation', 'scifi', 'family']","['US']",5,7.5,8022,259.059,8,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"2983","The Witcher","SHOW",2019,"TV-MA",58,"['scifi', 'action', 'horror', 'drama', 'fantasy']","['US']",2,8.2,472202,101.869,8.244,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"2984","Bridgerton","SHOW",2020,"TV-MA",62,"['drama', 'history', 'romance']","['US']",4,7.3,129085,106.118,8.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"2985","Control Z","SHOW",2020,"TV-MA",38,"['drama', 'thriller']","['MX']",3,6.9,8895,473.002,8.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2986","After Life","SHOW",2019,"TV-MA",28,"['comedy', 'drama']","['GB']",3,8.4,129243,19.931,7.843,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2988","Surviving R. Kelly","SHOW",2019,"TV-14",59,"['documentation', 'crime', 'music']","['US']",2,7.5,4906,3.97,7.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2989","Are You Afraid of the Dark?","SHOW",2019,"TV-PG",42,"['thriller', 'horror', 'family', 'drama', 'fantasy']","['US']",3,7,2216,63.359,7.5,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"2990","The UnXplained","SHOW",2019,"TV-14",42,"['documentation']","['US']",4,7.1,1011,8.132,8.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2991","The Queen's Gambit","SHOW",2020,"TV-MA",56,"['drama', 'sport']","['US']",1,8.6,420100,82.702,8.624,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2992","Roswell, New Mexico","SHOW",2019,"TV-14",41,"['scifi', 'drama', 'romance']","['US']",4,6.1,12343,46.094,8.1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"2993","Sex Education","SHOW",2019,"TV-MA",52,"['drama', 'comedy']","['GB']",4,8.3,251168,273.962,8.358,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2994","Dead to Me","SHOW",2019,"TV-MA",31,"['thriller', 'crime', 'drama', 'comedy']","['US']",2,8,74989,26.155,7.299,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2995","Capitani","SHOW",2019,"TV-MA",29,"['crime', 'drama', 'thriller']","['LU']",2,6.6,4912,28.789,6.715,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2996","I Think You Should Leave with Tim Robinson","SHOW",2019,"TV-MA",16,"['comedy']","['US']",3,7.9,11900,8.873,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2997","Formula 1: Drive to Survive","SHOW",2019,"TV-MA",38,"['documentation', 'sport']","['GB']",6,8.6,38345,40.781,8.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2998","The Last Dance","SHOW",2020,"TV-MA",50,"['documentation', 'history', 'sport']","['US']",1,9.1,115915,27.702,8.2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"2999","Locke & Key","SHOW",2020,"TV-14",48,"['drama', 'thriller', 'scifi', 'horror', 'fantasy']","['US']",3,7.4,72031,48.22,8.1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"3000","Outer Banks","SHOW",2020,"TV-MA",49,"['thriller', 'action', 'drama', 'romance', 'crime']","['US']",2,7.5,45815,39.319,8.555,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"3001","Emily in Paris","SHOW",2020,"TV-MA",29,"['drama', 'comedy', 'romance']","['US']",2,6.9,86631,42.991,7.995,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3003","Unbelievable","SHOW",2019,"TV-MA",48,"['drama', 'crime']","['US']",1,8.4,98384,20.378,8.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3004","Kingdom","SHOW",2019,"TV-MA",48,"['action', 'scifi', 'thriller', 'history', 'drama', 'horror']","['KR']",2,8.3,44874,42.052,8.4,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
"3007","Blown Away","SHOW",2019,"TV-PG",26,"['reality', 'comedy', 'history', 'documentation']","['CA']",3,7.1,3034,23.841,7.2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"3008","Marianne","SHOW",2019,"TV-MA",45,"['thriller', 'drama', 'horror']","['FR']",1,7.4,14895,22.746,7.7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3009","Space Force","SHOW",2020,"TV-MA",30,"['comedy']","['US']",2,6.7,63379,21.173,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3010","Love on the Spectrum","SHOW",2019,"TV-14",42,"['reality', 'romance', 'documentation']","['AU']",2,8.6,5846,5.852,7.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"3011","Never Have I Ever","SHOW",2020,"TV-14",28,"['comedy', 'drama']","['US']",4,7.8,47000,47.843,8.183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3013","The Stranger","SHOW",2020,"TV-MA",45,"['thriller', 'crime', 'drama']","['GB']",1,7.3,48298,11.603,7.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3016","The Promised Neverland","SHOW",2019,"TV-MA",23,"['animation', 'thriller', 'scifi', 'action', 'drama', 'horror', 'fantasy']","['JP']",2,8.3,36018,42.367,8.843,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"3018","Dracula","SHOW",2020,"TV-MA",88,"['drama', 'action', 'thriller', 'fantasy', 'horror']","['GB']",1,6.8,45971,25.177,7.142,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"3021","The Comey Rule","SHOW",2020,"TV-MA",82,"['war', 'drama']","['US']",1,7.4,8829,9.22,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3023","Black Summer","SHOW",2019,"TV-MA",39,"['scifi', 'thriller', 'action', 'drama', 'horror']","['US']",2,6.5,29318,30.795,7.1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"3026","The Daily Life of the Immortal King","SHOW",2020,"TV-14",19,"['scifi', 'animation', 'comedy', 'action', 'fantasy']","['CN']",2,7.2,1331,121.132,8.6,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
"3032","Alice in Borderland","SHOW",2020,"TV-MA",47,"['action', 'drama', 'scifi', 'thriller', 'fantasy']","['JP']",2,7.6,49446,71.018,8.2,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
"3033","The Dark Crystal: Age of Resistance","SHOW",2019,"TV-PG",51,"['scifi', 'family', 'animation', 'fantasy', 'horror', 'drama', 'action']","['US', 'GB']",1,8.4,24419,23.53,7.8,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"3034","When They See Us","SHOW",2019,"TV-MA",74,"['drama', 'crime', 'history']","['US']",1,8.9,116560,20.965,8.2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3036","The Haunting of Bly Manor","SHOW",2020,"TV-MA",55,"['thriller', 'drama', 'scifi', 'horror']","['US']",1,7.3,99047,29.636,7.8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"3039","Sweet Magnolias","SHOW",2020,"TV-14",50,"['drama', 'romance']","['US']",2,7.3,17689,17.137,7.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3043","Warrior Nun","SHOW",2020,"TV-MA",43,"['action', 'drama', 'scifi', 'fantasy']","['US']",2,6.8,30243,45.891,7.9,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"3050","Don't F**k with Cats: Hunting an Internet Killer","SHOW",2019,"TV-MA",62,"['documentation', 'crime']","['GB']",1,8,51559,13.548,7.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3051","The Midnight Gospel","SHOW",2020,"TV-MA",26,"['comedy', 'animation', 'scifi', 'thriller']","['US']",1,NA,NA,27.366,8.3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"3054","The Defeated","SHOW",2020,"TV-MA",55,"['history', 'thriller', 'drama']","['DE']",1,7,5902,7.002,6.846,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"3059","The Hateful Eight: Extended Version","SHOW",2019,"TV-MA",53,"['crime', 'thriller', 'western', 'drama']","['US']",1,NA,NA,1.96,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"3062","The Family","SHOW",2019,"TV-14",50,"['documentation', 'sport', 'reality']","['US']",1,6.4,3491,6.904,6.9,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"3063","Into the Night","SHOW",2020,"TV-MA",36,"['scifi', 'drama', 'thriller']","['BE']",2,7.1,31559,22.983,7.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3066","Feel Good","SHOW",2020,"TV-MA",25,"['drama', 'comedy', 'romance']","['GB']",2,7.5,10690,9.986,7.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"3070","Crash Landing on You","SHOW",2019,"",85,"['war']","['KR']",1,NA,NA,59.917,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"3072","Ragnarok","SHOW",2020,"TV-MA",47,"['thriller', 'action', 'drama', 'fantasy', 'scifi']","['NO']",2,7.5,36863,118.364,8.067,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
"3074","Love Is Blind","SHOW",2020,"TV-MA",54,"['reality', 'romance']","['US']",5,6.1,7863,1.4,7.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"3075","Young Wallander","SHOW",2020,"TV-MA",45,"['thriller', 'crime', 'drama']","['GB']",2,6.9,11377,72.638,7.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3076","Hollywood","SHOW",2020,"TV-MA",50,"['drama', 'history']","['US']",1,7.5,36052,11.855,7.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3077","Our Planet","SHOW",2019,"TV-G",50,"['documentation']","['GB']",1,9.3,42259,19.942,8.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3078","The Chef Show","SHOW",2019,"TV-MA",31,"['documentation']","['US']",2,8.2,5107,7.305,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3079","Big Timber","SHOW",2020,"",48,"['reality']","['CA']",2,6.6,705,19.64,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"3080","Raising Dion","SHOW",2019,"TV-G",43,"['scifi', 'drama']","['US']",2,7.1,14799,33.326,7.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3084","Sweet Home","SHOW",2020,"TV-MA",52,"['drama', 'scifi']","['KR']",1,NA,NA,69.734,8.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"3086","Ratched","SHOW",2020,"TV-MA",54,"['drama', 'history', 'thriller', 'crime']","['US']",2,7.2,54291,35.227,7.8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"3088","The Politician","SHOW",2019,"TV-14",43,"['comedy', 'drama']","['US']",2,7.5,22182,14.713,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3092","The Cursed","SHOW",2020,"TV-MA",62,"['thriller', 'scifi', 'drama', 'fantasy']","['KR']",1,7.1,466,4.435,7.9,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"3093","Top Boy","SHOW",2019,"TV-MA",53,"['drama', 'crime']","['GB']",3,NA,NA,24.305,8.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3094","Dorohedoro","SHOW",2020,"TV-MA",25,"['scifi', 'action', 'comedy', 'fantasy', 'horror', 'animation']","['JP']",1,8.1,8262,23.072,8.6,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
"3095","The Society","SHOW",2019,"TV-MA",56,"['drama', 'scifi', 'thriller']","['US']",1,7,28647,21.138,7.7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"3096","Unorthodox","SHOW",2020,"TV-MA",54,"['drama']","['DE']",1,8,76083,15.173,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3097","The Twelve","SHOW",2019,"TV-MA",48,"['thriller', 'drama']","['BE']",1,7.4,5174,9.883,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3098","Barbarians","SHOW",2020,"TV-MA",47,"['drama', 'action', 'history']","['DE']",1,7.2,23709,37.819,7.396,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"3100","The Movies That Made Us","SHOW",2019,"TV-PG",47,"['documentation', 'family', 'history']","['US']",3,7.6,6288,10.08,7.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"3102","She","SHOW",2020,"",40,"['drama', 'crime']","['IN']",2,NA,NA,11.259,6.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3106","Cursed","SHOW",2020,"TV-MA",55,"['action', 'scifi', 'fantasy', 'drama']","['US']",1,5.8,29864,30.279,7.4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"3108","Lego Jurassic World: Legend of Isla Nublar","SHOW",2019,"TV-PG",22,"['comedy', 'family', 'scifi', 'animation', 'action']","['CA']",1,6.7,289,13.663,7.2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
"3110","Living with Yourself","SHOW",2019,"TV-MA",26,"['drama', 'scifi', 'comedy']","['US']",2,7.2,30624,9.447,6.8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3111","Giri/Haji","SHOW",2019,"TV-MA",58,"['drama', 'thriller', 'crime']","['GB']",1,7.8,14008,14.215,7.7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3115","The Spy","SHOW",2019,"TV-MA",53,"['drama', 'history']","['FR']",1,7.9,41237,16.993,7.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"3117","Pokémon Journeys: The Series","SHOW",2020,"TV-PG",22,"['animation', 'action', 'scifi', 'comedy', 'family', 'fantasy']","['JP']",1,6.9,563,1.4,6,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"3121","Jeffrey Epstein: Filthy Rich","SHOW",2020,"TV-MA",57,"['documentation', 'crime']","['US']",1,7.1,23816,9.369,7.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3122","Bogdan Boner: Egzorcysta","SHOW",2020,"TV-MA",12,"['animation', 'comedy']","['PL']",2,7.3,105,10.114,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"3124","The Valhalla Murders","SHOW",2019,"TV-MA",47,"['crime', 'drama', 'thriller', 'scifi']","['IS']",1,7.1,13467,11.145,6.8,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3126","The Last Czars","SHOW",2019,"TV-MA",45,"['romance', 'documentation', 'drama', 'history', 'war']","['GB']",1,7.3,8248,9.163,7.4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
"3129","Selling Sunset","SHOW",2019,"TV-MA",36,"['reality']","['US']",5,6.4,6217,8.686,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3130","Glow Up: Britain's Next Make-Up Star","SHOW",2019,"TV-14",54,"['reality']","['GB']",4,6.8,2095,5.621,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"3131","I Am Not Okay with This","SHOW",2020,"TV-MA",21,"['drama', 'fantasy', 'scifi', 'comedy']","['US']",1,7.5,58674,27.985,8.2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"3133","WHAT / IF","SHOW",2019,"TV-MA",54,"['drama', 'thriller', 'romance']","['US']",1,6.3,15243,19.664,6.6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"3135","Unsolved Mysteries","SHOW",2020,"TV-MA",49,"['documentation', 'drama', 'thriller', 'crime']","['US']",2,7.3,9492,18.654,7.8,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3137","Cheer","SHOW",2020,"TV-MA",56,"['documentation', 'sport', 'reality']","['US']",2,8.1,6271,8.36,7.4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"3138","DC Super Hero Girls","SHOW",2019,"TV-PG",10,"['scifi', 'animation', 'family', 'action', 'comedy', 'fantasy', 'drama']","['US']",2,7.1,1282,12.626,8.2,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"3139","The Order","SHOW",2019,"TV-MA",48,"['scifi', 'drama', 'thriller', 'fantasy', 'horror']","['US']",2,6.7,27943,27.883,7.9,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"3142","Down to Earth with Zac Efron","SHOW",2020,"TV-PG",39,"['documentation', 'history', 'reality']","['US']",1,8,6586,17.742,7.8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"3144","Kipo and the Age of Wonderbeasts","SHOW",2020,"TV-Y7",23,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']","['US']",3,8.3,5618,24.191,8.4,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"3146","Ghost in the Shell: SAC_2045","SHOW",2020,"TV-14",25,"['scifi', 'action', 'animation', 'crime', 'drama', 'thriller']","['JP']",2,6.2,2397,11.482,6.5,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
"3148","The Untamed","SHOW",2019,"TV-14",44,"['action', 'drama', 'thriller', 'romance', 'comedy', 'fantasy', 'horror']","['CN']",1,8.8,6181,30.895,8.5,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
"3150","Too Hot to Handle","SHOW",2020,"TV-MA",42,"['reality', 'romance']","['US']",3,4.6,12230,20.633,6.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"3154","Another Life","SHOW",2019,"TV-MA",42,"['scifi', 'drama', 'thriller']","['US']",2,5.2,35536,56.037,6.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"3155","Love & Anarchy","SHOW",2020,"TV-MA",31,"['comedy', 'drama', 'romance']","['SE']",2,7.4,7896,13.59,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"3156","L.A.'s Finest","SHOW",2019,"TV-14",47,"['crime', 'drama', 'action', 'comedy', 'thriller']","['US']",2,6.1,7000,21.788,7.3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3157","Greatest Events of WWII in Colour","SHOW",2019,"",50,"['documentation', 'history', 'war']","['GB']",1,8.7,8622,7.929,8.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"3158","Tiger King","SHOW",2020,"TV-MA",44,"['documentation', 'crime']","['US']",2,7.5,77790,9.63,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3160","Undercover","SHOW",2019,"TV-MA",49,"['drama', 'crime', 'thriller']","['BE']",3,7.8,17005,17.659,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3166","Criminal: UK","SHOW",2019,"TV-MA",44,"['crime', 'drama', 'thriller']","['GB']",2,7.6,18213,12.302,7.429,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3169","Traitors","SHOW",2019,"TV-MA",51,"['war', 'drama', 'thriller', 'history']","['GB']",1,6.6,3130,4.526,6.8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
"3170","Merli: Dare to Know","SHOW",2019,"TV-MA",48,"['comedy', 'drama']","['ES']",2,7.6,1868,52.228,8.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3171","Backstreet Rookie","SHOW",2020,"TV-14",62,"['drama', 'comedy', 'romance', 'action']","['KR']",1,7.4,2216,29.819,7.5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"3172","Dare Me","SHOW",2019,"TV-MA",43,"['thriller', 'crime', 'drama', 'reality']","['US']",1,6.6,5254,15.001,7.9,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"3173","The English Game","SHOW",2020,"TV-14",48,"['drama']","['GB']",1,NA,NA,13.746,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3174","Hotel Del Luna","SHOW",2019,"TV-14",80,"['romance', 'action', 'comedy', 'drama', 'fantasy', 'horror', 'scifi']","['KR']",1,8.2,8405,32.042,8.7,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
"3177","Wu Assassins","SHOW",2019,"TV-MA",44,"['scifi', 'action', 'crime', 'drama', 'fantasy']","['US']",1,6.4,12921,15.475,7.3,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"3180","The Gentlemen's League","SHOW",2019,"TV-G",98,"['reality']","['KR']",2,NA,NA,10.495,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"3182","To the Lake","SHOW",2019,"TV-MA",51,"['thriller', 'drama', 'scifi']","['RU']",2,7.2,12713,13.757,7.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"3185","Teenage Bounty Hunters","SHOW",2020,"TV-MA",49,"['comedy', 'drama', 'action', 'crime']","['US']",1,7.6,11426,16.492,7.9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3187","Away","SHOW",2020,"TV-14",50,"['drama', 'scifi', 'romance']","['US']",1,6.6,23787,16.426,6.8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"3190","Floor is Lava","SHOW",2020,"TV-Y7",31,"['reality']","['US']",2,5.3,2429,9.617,7.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3191","Julie and the Phantoms","SHOW",2020,"TV-G",2,"['scifi', 'fantasy', 'music', 'comedy', 'drama', 'family', 'documentation']","['US']",1,8.4,9725,13.926,8.584,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3194","How to Sell Drugs Online (Fast)","SHOW",2019,"TV-MA",32,"['comedy', 'crime', 'drama', 'romance']","['DE']",3,7.9,31516,26.381,8.3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"3195","Ultraman","SHOW",2019,"TV-14",24,"['animation', 'action', 'scifi', 'fantasy', 'drama']","['JP']",3,6.8,2089,30.084,7.1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
